                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6792,                 3.7822,                  2.675,                  1.466,                0.52726,                0.25039,                0.25494,                0.14867,                0.48515,                0.21772,                 0.2136,                0.10821,                 1.5869,                 3.2355,                 1.6593,                 1.2791,             0.00012796,             0.00012796,             0.00012796
                      2,                 1.3825,                 3.0069,                 1.3966,                 1.2958,                0.53318,                0.32649,                0.35851,                 0.2003,                0.45508,                0.27436,                0.29661,                0.15009,                 1.4199,                 3.0418,                 1.2825,                 1.1782,             0.00025207,             0.00025207,             0.00025207
                      3,                 1.2811,                 2.8443,                 1.2039,                 1.2334,                0.54251,                0.40115,                0.39884,                0.22747,                0.53113,                0.33869,                0.33281,                 0.1691,                 1.3741,                 2.8828,                 1.2088,                 1.1574,             0.00037194,             0.00037194,             0.00037194
                      4,                 1.2366,                 2.7591,                 1.1265,                 1.2025,                0.61272,                0.41452,                0.43585,                0.24793,                0.53992,                0.36296,                0.35957,                0.18108,                 1.2936,                 2.8397,                  1.123,                 1.1061,             0.00036594,             0.00036594,             0.00036594
                      5,                 1.2065,                 2.6811,                 1.0682,                 1.1765,                0.63812,                0.44703,                0.46976,                0.27009,                0.56936,                0.37515,                0.38286,                0.19286,                 1.2748,                 2.7576,                 1.0734,                 1.0928,             0.00035959,             0.00035959,             0.00035959
                      6,                 1.1808,                 2.6296,                 1.0244,                  1.161,                0.66643,                0.46941,                0.48901,                0.27812,                0.57387,                0.40488,                0.40118,                0.19853,                 1.2551,                 2.7224,                 1.0292,                 1.0829,             0.00035324,             0.00035324,             0.00035324
                      7,                 1.1576,                 2.5798,                0.99093,                 1.1498,                0.65123,                0.46734,                0.50213,                0.28679,                0.58127,                0.40554,                0.41503,                  0.208,                 1.2396,                 2.6607,                 1.0276,                 1.0733,             0.00034689,             0.00034689,             0.00034689
                      8,                 1.1457,                 2.5579,                0.97053,                 1.1414,                0.69257,                0.46535,                0.51581,                 0.3028,                0.61231,                0.41421,                0.43623,                0.21955,                 1.2107,                 2.6768,                0.97405,                 1.0486,             0.00034053,             0.00034053,             0.00034053
                      9,                 1.1276,                 2.5148,                0.94668,                 1.1325,                 0.6946,                0.49497,                0.52705,                0.30658,                0.60686,                0.43387,                0.43829,                 0.2241,                  1.206,                 2.5856,                0.96279,                 1.0484,             0.00033418,             0.00033418,             0.00033418
                     10,                 1.1232,                 2.5092,                0.92824,                 1.1277,                0.63751,                0.49061,                0.52068,                0.30594,                0.55632,                0.43929,                0.44006,                0.22068,                 1.1833,                 2.5931,                0.94442,                 1.0365,             0.00032783,             0.00032783,             0.00032783
                     11,                 1.1087,                  2.477,                 0.9106,                 1.1229,                0.66027,                0.50722,                0.54604,                0.31684,                0.60497,                0.43034,                0.44932,                0.22111,                  1.208,                 2.5756,                0.93837,                 1.0484,             0.00032147,             0.00032147,             0.00032147
                     12,                 1.1043,                 2.4644,                 0.8995,                 1.1171,                0.71078,                0.50381,                0.55009,                0.32093,                0.64371,                0.44876,                0.46824,                 0.2369,                 1.1842,                 2.5429,                0.92683,                 1.0364,             0.00031512,             0.00031512,             0.00031512
                     13,                 1.0942,                 2.4508,                0.88382,                 1.1099,                0.71787,                  0.505,                0.55437,                0.32975,                0.64465,                0.43407,                0.46241,                0.23732,                 1.1553,                 2.5243,                0.88669,                 1.0139,             0.00030877,             0.00030877,             0.00030877
                     14,                 1.0806,                 2.4185,                0.87028,                 1.1055,                0.68723,                0.51527,                0.55447,                0.32507,                0.61893,                0.45853,                0.47088,                0.23636,                 1.1645,                 2.4965,                0.89832,                 1.0206,             0.00030242,             0.00030242,             0.00030242
                     15,                 1.0754,                 2.4222,                0.86489,                 1.1031,                0.76332,                0.50205,                0.56295,                0.33687,                0.68338,                0.44296,                0.47625,                0.24398,                 1.1431,                 2.4984,                0.88426,                 1.0093,             0.00029606,             0.00029606,             0.00029606
                     16,                 1.0752,                 2.4117,                0.85786,                 1.1013,                0.72329,                0.51551,                0.57545,                0.34046,                0.66675,                0.44464,                  0.478,                0.23841,                 1.1559,                 2.4807,                0.87645,                 1.0187,             0.00028971,             0.00028971,             0.00028971
                     17,                 1.0732,                 2.4067,                0.85321,                 1.1025,                0.73236,                0.52766,                0.57841,                0.34445,                0.64531,                 0.4581,                0.47406,                0.24129,                 1.1314,                 2.4562,                0.84883,                 1.0009,             0.00028336,             0.00028336,             0.00028336
