                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96873,                 2.2008,                0.73462,                 1.0501,                0.77594,                  0.571,                0.63077,                0.39565,                0.70563,                 0.4943,                0.53457,                0.28113,                 1.0339,                 2.2556,                 0.7458,                0.95379,             0.00012796,             0.00012796,             0.00012796
                      2,                0.98951,                   2.22,                0.74893,                 1.0563,                0.76445,                0.56346,                0.62278,                0.37902,                0.68134,                 0.4956,                0.51961,                0.26499,                 1.0785,                 2.3355,                0.77927,                0.97658,             0.00024995,             0.00024995,             0.00024995
                      3,                 1.0032,                 2.2434,                0.76296,                 1.0639,                0.76967,                0.55615,                0.61537,                0.37317,                0.68512,                0.49102,                0.51811,                0.26278,                 1.1016,                 2.3411,                0.80521,                0.99311,             0.00036559,             0.00036559,             0.00036559
                      4,                 1.0117,                 2.2597,                0.77088,                 1.0701,                0.77829,                0.54841,                0.62209,                0.37769,                0.69426,                0.47126,                0.50932,                0.26111,                 1.0872,                 2.3326,                 0.7834,                0.97736,             0.00035641,             0.00035641,             0.00035641
                      5,                 1.0174,                 2.2497,                0.77143,                 1.0688,                 0.7598,                0.55202,                0.61587,                0.37337,                0.68892,                0.48105,                0.51865,                0.26486,                 1.1025,                  2.345,                0.79559,                0.98186,             0.00034689,             0.00034689,             0.00034689
                      6,                 1.0116,                 2.2472,                0.76514,                 1.0653,                0.76126,                0.54628,                0.61039,                0.37284,                0.66924,                0.48337,                0.50997,                0.25744,                 1.0911,                 2.3961,                0.79611,                0.97868,             0.00033736,             0.00033736,             0.00033736
                      7,                 1.0068,                 2.2369,                0.76244,                 1.0665,                0.76673,                0.54982,                0.61799,                 0.3764,                0.69477,                0.47913,                0.51977,                0.26657,                 1.0844,                 2.3148,                0.78931,                0.98285,             0.00032783,             0.00032783,             0.00032783
                      8,                 1.0022,                 2.2357,                0.76081,                 1.0633,                0.77233,                 0.5566,                0.61969,                0.38244,                0.67573,                 0.4828,                0.50336,                 0.2645,                 1.0838,                 2.3512,                0.77919,                0.97324,              0.0003183,              0.0003183,              0.0003183
                      9,                0.99886,                 2.2222,                0.75551,                 1.0627,                 0.7619,                0.56666,                0.62424,                 0.3779,                0.67935,                0.49904,                0.53163,                0.27472,                 1.0653,                 2.3192,                0.77452,                 0.9715,             0.00030877,             0.00030877,             0.00030877
                     10,                 1.0044,                 2.2357,                0.75675,                 1.0633,                0.74943,                0.56554,                0.62068,                0.37747,                 0.6935,                0.49336,                0.52761,                0.26831,                 1.0727,                 2.3249,                0.77836,                0.97213,             0.00029924,             0.00029924,             0.00029924
